Dates,Oliva Extra,Oliva,Lampante
08/01/2017,3768.25,3850.00,3698.43
08/02/2017,3795.13,3679.11,3697.98
08/03/2017,3790.19,3679.11,3712.71
08/04/2017,3823.66,3746.82,3691.72
08/05/2017,3823.66,3756.82,3691.72
08/06/2017,3823.66,3766.82,3691.72
08/07/2017,3784.65,3776.78,3691.72
08/08/2017,3870.00,3780.87,3691.72
08/09/2017,3806.66,3796.80,3691.72
08/10/2017,3796.67,3706.79,3691.72
08/11/2017,3796.67,3716.79,3691.72
08/12/2017,3796.67,3726.79,3691.72
08/13/2017,3796.67,3736.79,3691.72
08/14/2017,3796.67,3746.79,3691.72
08/15/2017,3796.67,3756.79,3691.72
08/16/2017,3796.67,3766.79,3691.72
08/17/2017,3796.67,3776.79,3691.72
08/18/2017,3796.67,3786.79,3691.72
08/19/2017,3796.67,3796.79,3691.72
08/20/2017,3782.26,3747.32,3600.00
08/21/2017,3782.26,3747.32,3697.20
08/22/2017,3799.25,3746.45,3649.31
08/23/2017,3827.10,3751.36,3730.80
08/24/2017,3877.50,3750.00,3675.00
08/25/2017,3811.87,3725.00,3648.85
08/26/2017,3811.87,3725.00,3648.85
08/27/2017,3811.87,3725.00,3648.85
08/28/2017,3879.91,3725.00,3700.00
08/29/2017,3887.38,3745.84,3700.00
08/30/2017,3791.21,3700.19,3700.00
08/31/2017,3797.55,3739.21,3592.82
09/01/2017,3860.57,3744.34,3703.88
09/02/2017,3860.57,3744.34,3703.88
09/03/2017,3860.57,3744.34,3703.88
09/04/2017,3803.90,3721.00,3659.24
09/05/2017,3823.55,3716.92,3680.00
09/06/2017,3807.79,3693.63,3648.68
09/07/2017,3793.74,3680.00,3503.38
09/08/2017,3828.38,3680.00,3503.38
09/09/2017,3828.38,3680.00,3503.38
09/10/2017,3828.38,3680.00,3503.38
09/11/2017,3891.18,3709.42,3615.11
09/12/2017,3741.13,3649.61,3612.14
09/13/2017,3759.43,3649.61,3619.16
09/14/2017,3723.85,3612.02,3568.16
09/15/2017,3680.69,3632.12,3583.12
09/16/2017,3699.33,3610.37,3579.59
09/17/2017,3699.33,3610.37,3759.59
09/18/2017,3729.50,3592.23,3580.45
09/19/2017,3753.74,3675.02,3594.00
09/20/2017,3719.04,3599.07,3599.07
09/21/2017,3675.03,3549.57,3583.30
09/22/2017,3675.03,3577.36,3557.85
09/23/2017,3675.03,3577.36,3557.85
09/24/2017,3761.37,3577.36,3557.85
09/25/2017,3761.37,3603.49,3657.85
09/26/2017,3681.43,3639.56,3657.85
09/27/2017,3667.69,3644.13,3657.85
09/28/2017,3670.00,3650.00,3657.85
09/29/2017,3680.00,3650.00,3657.85
09/30/2017,3690.00,3655.00,3657.85
10/01/2017,3700.00,3660.00,3657.85
10/02/2017,3720.00,3665.00,3657.85
10/03/2017,3740.00,3670.00,3657.85
10/04/2017,3760.00,3700.00,3657.85
10/05/2017,3780.00,3700.00,3656.00
10/06/2017,3790.00,3750.00,3655.00
10/07/2017,3800.00,3850.00,3652.00
10/08/2017,3810.00,3850.00,3650.00
10/09/2017,3812.60,3700.00,3646.19
10/10/2017,3773.76,3701.98,3646.19
10/11/2017,3793.53,3718.63,3650.00
10/12/2017,3748.29,3718.63,3650.00
10/13/2017,3805.48,3499.40,3660.00
10/14/2017,3805.48,3699.40,3660.00
10/15/2017,3805.48,3699.40,3660.00
10/16/2017,3814.48,3699.40,3660.00
10/17/2017,3770.74,3699.90,3636.97
10/18/2017,3796.65,3699.90,3599.77
10/19/2017,3764.61,3668.46,3553.13
10/20/2017,3734.89,3649.90,3557.06
10/21/2017,3734.89,3649.92,3557.06
10/22/2017,3734.89,3649.92,3557.06
10/23/2017,3715.33,3649.33,3557.06
10/24/2017,3780.80,3635.95,3586.19
10/25/2017,3733.23,3635.95,3614.61
10/26/2017,3743.81,3652.19,3614.61
10/27/2017,3767.21,3653.94,3524.26
10/28/2017,3767.21,3653.94,3524.26
10/29/2017,3767.21,3653.94,3524.26
10/30/2017,3703.30,3640.46,3524.26
10/31/2017,3722.21,3645.13,3614.60
11/01/2017,3722.21,3645.13,3614.60
11/02/2017,3682.64,3656.06,3614.60
11/03/2017,3716.36,3651.62,3532.56
11/04/2017,3716.36,3651.62,3532.56
11/05/2017,3716.36,3651.62,3599.47
11/06/2017,3665.24,3599.25,3599.25
11/07/2017,3649.89,3549.79,3539.68
11/08/2017,3637.38,3533.48,3361.14
11/09/2017,3593.25,3506.70,3426.88
11/10/2017,3544.88,3481.65,3377.51
11/11/2017,3544.88,3481.65,3377.51
11/12/2017,3544.88,3481.65,3377.51
11/13/2017,3528.11,3418.62,3386.86
11/14/2017,3579.68,3444.48,3345.02
11/15/2017,3538.61,3439.74,3269.63
